repair_id,claim_id,vehicle_id,repair_shop_contact_id,invoice_amount,estimate_amount,approved_amount,paid_amount,repair_start_date,repair_end_date,damage_severity,liability_percentage,vehicle_year,make,model,claim_severity,loss_cause,incident_state,initial_damage_assessment,point_of_impact,airbags_deployed,weather_conditions,road_conditions,catastrophe_code,loss_date,reported_date,cost_type,cost_category,shop_city,shop_state,reserve_amount,is_repeat_vehicle,vehicle_claim_count
1,1,1798,209,5113.35,5831.11,4831.38,4871.05,2026-07-08,2026-07-25,Severe,90.74272758643065,2010,Toyota,Corolla,Medium,Parking Lot Incident,NJ,Severe,Rear,True,Snow,Icy,,2026-07-03,2026-07-07,Labor,Repair,Newark,NJ,4938.24,False,1
2,2,3026,12,826.96,1033.44,768.75,746.74,2026-06-21,2026-06-22,Minor,55.32279074618397,2018,Honda,Civic,Low,Rear-end Collision,NJ,Minor,Rear Left Corner,False,Snow,Dry,,2026-06-16,2026-06-19,Paint,Repair,El Paso,TX,1326.82,False,1
3,3,6013,88,1091.33,1038.62,964.03,949.65,2025-02-18,2025-02-25,Minor,91.57088373706272,2009,Nissan,Altima,Medium,Side Impact,FL,Minor,Rear,False,Rain,Icy,,2025-02-13,2025-02-16,Paint,Repair,Orlando,FL,731.75,False,1
4,4,64,164,1754.45,1711.16,1811.61,1789.23,2026-02-20,2026-02-22,Minor,93.0345248692957,2012,Honda,CR-V,Low,Side Impact,FL,Minor,Front,False,Clear,Dry,,2026-02-14,2026-02-23,Paint,Repair,Newark,NJ,1682.03,False,1
5,5,4714,106,1285.22,1151.5,1104.23,1153.84,2025-03-10,2025-03-18,Minor,76.79677434925328,2012,Ford,Focus,Low,Rear-end Collision,NJ,Minor,Rear,False,Snow,Wet,,2025-03-04,2025-03-11,Parts,Supplemental,Springfield,IL,1235.65,True,6
6,5,4714,106,1250.96,1119.89,1114.41,1123.22,2025-03-10,2025-03-18,Minor,76.79677434925328,2012,Ford,Focus,Low,Rear-end Collision,NJ,Minor,Rear,False,Snow,Wet,,2025-03-04,2025-03-11,Parts,Repair,Springfield,IL,1235.65,True,6
7,6,5214,24,3714.69,4397.41,3732.72,3648.32,2025-09-14,2025-10-04,Severe,100.0,2016,Nissan,Altima,Medium,Side Impact,TX,Severe,Rear Left Corner,True,Fog,Debris,,2025-09-08,2025-09-08,Labor,Repair,Sacramento,CA,2084.26,False,1
8,7,6617,136,2485.15,1997.87,2398.46,2408.36,2025-05-31,2025-06-08,Moderate,92.47870568387258,2011,Subaru,Outback,Medium,Rear-end Collision,OH,Minor,Rear Right Corner,False,Snow,Dry,,2025-05-25,2025-05-30,Labor,Repair,Toledo,OH,1449.09,False,1
9,7,6617,136,2200.61,2778.96,2466.02,2205.27,2025-05-31,2025-06-08,Moderate,92.47870568387258,2011,Subaru,Outback,Medium,Rear-end Collision,OH,Minor,Rear Right Corner,False,Snow,Dry,,2025-05-25,2025-05-30,Towing,Repair,Toledo,OH,1449.09,False,1
10,8,1294,82,7928.77,7685.18,7606.85,7594.59,2026-06-12,2026-07-06,Severe,83.69322180935703,2016,Ford,F-150,Medium,Head-on Collision,FL,Severe,Front Left Corner,True,Snow,Dry,,2026-06-04,2026-06-11,Parts,Supplemental,Fresno,CA,3858.83,False,1
11,9,4149,23,1644.67,1406.85,1603.66,1556.76,2025-09-17,2025-09-20,Minor,78.25526624884125,2011,Toyota,Corolla,High,Parking Lot Incident,FL,Minor,Rear,False,Clear,Dry,CAT-2025-HURR-FL,2025-09-13,2025-09-17,Towing,Repair,El Paso,TX,963.98,False,1
12,10,5312,178,8743.25,10313.45,8333.99,8053.97,2025-06-18,2025-07-06,Severe,87.97995792345236,2010,Mercedes-Benz,C-Class,Medium,Parking Lot Incident,PA,Severe,Rear Right Corner,True,Clear,Wet,,2025-06-13,2025-06-19,Parts,Repair,Tampa,FL,8764.98,False,1
13,11,4916,35,4054.17,4050.99,3884.04,4009.98,2026-02-09,2026-02-24,Moderate,71.39745524605276,2011,Mercedes-Benz,C-Class,High,Hit and Run,IL,Severe,Rear Right Corner,False,Snow,Icy,,2026-02-02,2026-02-08,Paint,Repair,Sacramento,CA,9795.81,False,1
14,11,4916,35,4384.54,5764.43,4194.68,4430.13,2026-02-09,2026-02-24,Moderate,71.39745524605276,2011,Mercedes-Benz,C-Class,High,Hit and Run,IL,Severe,Rear Right Corner,False,Snow,Icy,,2026-02-02,2026-02-08,Parts,Repair,Sacramento,CA,9795.81,False,1
15,12,2016,65,3245.58,2908.08,2958.26,3034.46,2025-06-18,2025-06-27,Moderate,72.17155563006015,2011,Jeep,Grand Cherokee,Low,Parking Lot Incident,PA,Moderate,Rear,False,Wind,Dry,,2025-06-11,2025-06-13,Labor,Repair,Jersey City,NJ,2143.8,False,1
16,13,4118,142,28348.11164503092,12740.67,11738.42,12161.56,2025-03-08,2025-03-10,Total Loss,100.0,2021,Mercedes-Benz,C-Class,Medium,Side Impact,IL,Total Loss,Rear Right Corner,False,Rain,Dry,,2025-03-03,2025-03-10,Rental,Repair,Albany,NY,19621.72,False,1
17,14,5491,186,1099.58,1155.37,979.18,1025.84,2025-01-26,2025-02-02,Minor,100.0,2019,Honda,Civic,Low,Parking Lot Incident,NY,Minor,Passenger Side,False,Rain,Wet,,2025-01-20,2025-01-20,Parts,Repair,Columbus,OH,750.81,False,1
18,14,5491,186,1035.49,1264.54,943.74,1009.76,2025-01-26,2025-02-02,Minor,100.0,2019,Honda,Civic,Low,Parking Lot Incident,NY,Minor,Passenger Side,False,Rain,Wet,,2025-01-20,2025-01-20,Labor,Repair,Columbus,OH,750.81,False,1
19,14,5491,186,1010.06,742.29,973.27,991.84,2025-01-26,2025-02-02,Minor,100.0,2019,Honda,Civic,Low,Parking Lot Incident,NY,Minor,Passenger Side,False,Rain,Wet,,2025-01-20,2025-01-20,Parts,Repair,Columbus,OH,750.81,False,1
20,15,2032,13,1385.31,1313.91,1334.76,1328.93,2026-04-20,2026-04-27,Minor,66.44322670340328,2013,Honda,CR-V,Low,Side Impact,IL,Minor,Front,False,Rain,Dry,,2026-04-11,2026-04-20,Towing,Repair,Durham,NC,960.92,False,1
21,16,1806,83,1510.81,1430.69,1518.71,1475.37,2025-03-30,2025-04-04,Minor,81.16504630146521,2021,Toyota,Camry,Low,Parking Lot Incident,CA,Minor,Front,False,Clear,Dry,,2025-03-26,2025-03-28,Labor,Repair,Albany,NY,1316.5,True,3
22,17,1440,131,1370.09,1051.17,1292.61,1304.15,2025-11-24,2025-11-26,Minor,70.32044833404206,2016,Toyota,Camry,Medium,Parking Lot Incident,CA,Minor,Passenger Side,False,Clear,Dry,,2025-11-19,2025-11-20,Paint,Repair,Toledo,OH,893.24,False,1
23,18,3009,141,4813.74,5990.15,4766.82,5136.91,2025-07-28,2025-08-16,Severe,91.98990830480452,2017,Ford,Focus,Low,Parking Lot Incident,FL,Severe,Front,True,Clear,Icy,,2025-07-24,2025-07-25,Parts,Repair,Toledo,OH,1772.71,False,1
24,19,2041,131,1918.55,2045.54,1803.51,1936.62,2025-03-13,2025-03-18,Minor,63.97995341281644,2020,BMW,3 Series,Medium,Rear-end Collision,IL,Minor,Rear Left Corner,False,Clear,Dry,,2025-03-05,2025-03-11,Paint,Repair,Toledo,OH,2424.6,True,3
25,20,5621,112,916.87,1043.87,868.04,875.74,2026-02-24,2026-02-25,Minor,57.66610509400788,2008,Nissan,Altima,Low,Parking Lot Incident,CA,Minor,Front Left Corner,False,Clear,Dry,,2026-02-18,2026-02-26,Labor,Repair,Albany,NY,1541.0,False,1
26,21,1153,1,2225.62,1889.87,2143.97,2092.51,2025-02-05,2025-02-16,Moderate,100.0,2013,Hyundai,Elantra,High,Side Impact,PA,Moderate,Rear Right Corner,True,Clear,Wet,,2025-01-31,2025-01-31,Labor,Supplemental,Savannah,GA,1684.29,False,1
27,21,1153,1,1697.97,1702.44,1715.42,1692.99,2025-02-05,2025-02-16,Moderate,100.0,2013,Hyundai,Elantra,High,Side Impact,PA,Moderate,Rear Right Corner,True,Clear,Wet,,2025-01-31,2025-01-31,Labor,Repair,Savannah,GA,1684.29,False,1
28,22,1684,55,3361.26,3636.64,3073.01,3154.57,2025-01-13,2025-01-27,Moderate,76.54030602921479,2023,Ford,F-150,Low,Rear-end Collision,PA,Severe,Rear,False,Clear,Dry,,2025-01-06,2025-01-12,Parts,Repair,El Paso,TX,4857.49,False,1
