claim_id,vehicle_id,repair_shop_contact_id,vehicle_year,liability_percentage,repair_duration_days,vehicle_claim_count,damage_severity,initial_damage_assessment,airbags_deployed,cost_category,catastrophe_code,is_repeat_vehicle,num_parts_replaced,num_parts_repaired,num_parts_reused,replaced_cost_total,repaired_cost_total,reused_cost_total,replaced_part_1,replaced_part_1_cost,replaced_part_2,replaced_part_2_cost,replaced_part_3,replaced_part_3_cost,replaced_part_4,replaced_part_4_cost,replaced_part_5,replaced_part_5_cost,repaired_part_1,repaired_part_1_cost,repaired_part_2,repaired_part_2_cost,repaired_part_3,repaired_part_3_cost,repaired_part_4,repaired_part_4_cost,repaired_part_5,repaired_part_5_cost,avg_labor_rate,make,model,claim_severity,incident_state,loss_cause,point_of_impact,weather_conditions,shop_city,shop_state,loss_date,reserve_amount,invoice_amount
1048291,900001,529,2014,75,41,1,Minor,Minor,0,Low,,0,1,4,1,622.57,707.44,115.11,Headlight Assembly,622.57,,0.0,,0.0,,0.0,,0.0,Mirror Assembly,212.08,Grille,195.2,Wheel Rim,168.13,Quarter Panel,132.03,,0.0,329.11,Subaru,Forester,Minor,FL,Hail,Rear,Snow,Tampa,FL,2026-01-05,2963.96,2769.54
CLM-88419,900002,466,2014,10,30,1,Moderate,Moderate,0,Standard,,0,5,0,3,2019.28,0.0,63.13,Tail Light Assembly,484.17,Fender,441.33,Door Panel,435.69,Windshield,365.46,Hood,292.63,,0.0,,0.0,,0.0,,0.0,,0.0,314.88,Toyota,Tacoma,Moderate,OH,Collision,Passenger Side,Clear,Toledo,OH,2026-01-15,3026.3,2455.4
WX-99482,900003,854,2022,50,4,3,Minor,Minor,0,Standard,,0,1,2,5,94.91,733.04,136.21,Fender,94.91,,0.0,,0.0,,0.0,,0.0,Wheel Rim,393.08,Quarter Panel,339.96,,0.0,,0.0,,0.0,253.35,Toyota,Tacoma,Minor,NC,Vandalism,Front,Clear,Raleigh,NC,2026-01-25,3243.6,2863.04
20260314-009,900004,210,2013,10,18,1,Moderate,Moderate,0,Standard,,0,8,11,4,2562.84,1335.65,223.15,Door Panel,641.72,Windshield,555.22,Hood,519.36,Mirror Assembly,449.63,Grille,396.91,Quarter Panel,304.48,Trunk Lid,284.1,Bumper Cover,274.19,Headlight Assembly,256.18,Tail Light Assembly,216.7,212.62,Mercedes-Benz,C300,Moderate,IL,Collision,Roof,Clear,Springfield,IL,2026-02-04,5006.8,5624.99
4491023,900005,311,2018,80,24,1,Minor,Minor,0,Standard,,0,1,2,5,150.81,438.0,417.43,Windshield,150.81,,0.0,,0.0,,0.0,,0.0,Trunk Lid,257.66,Bumper Cover,180.34,,0.0,,0.0,,0.0,172.17,Chevrolet,Malibu,Minor,FL,Theft,Multiple,Snow,Tampa,FL,2026-02-14,2420.77,2532.72
9021482,900006,434,2019,20,13,2,Total Loss,Total Loss,1,Standard,CAT-411,0,18,2,2,5694.66,663.95,315.74,Hood,1373.33,Mirror Assembly,1328.99,Grille,1173.56,Wheel Rim,949.08,Quarter Panel,869.7,Bumper Cover,390.71,Headlight Assembly,273.24,,0.0,,0.0,,0.0,357.6,Ford,F-150,Severe,TX,Collision,Passenger Side,Clear,El Paso,TX,2026-02-24,31604.42,33964.98
TRX-7741,900007,745,2024,50,41,1,Total Loss,Total Loss,0,Standard,,0,13,1,0,12701.49,205.37,0.0,Mirror Assembly,2793.16,Grille,2782.7,Wheel Rim,2614.17,Quarter Panel,2306.37,Trunk Lid,2205.09,Headlight Assembly,205.37,,0.0,,0.0,,0.0,,0.0,254.83,Audi,Q5,Severe,TX,Collision,Undercarriage,Clear,El Paso,TX,2026-03-06,31243.76,31340.91
5510294,900008,220,2016,10,24,1,Moderate,Moderate,0,Standard,,0,4,5,1,4312.7,571.34,31.06,Grille,1180.11,Wheel Rim,1101.95,Quarter Panel,1083.98,Trunk Lid,946.65,,0.0,Tail Light Assembly,135.02,Fender,133.16,Door Panel,104.98,Windshield,99.9,Hood,98.28,196.54,Ford,Mustang,Moderate,PA,Vandalism,Front,Rain,Erie,PA,2026-03-16,9296.47,7546.45
CLM-10293,900009,767,2022,20,13,3,Minor,Minor,0,High,,1,1,1,3,1093.58,197.87,143.07,Wheel Rim,1093.58,,0.0,,0.0,,0.0,,0.0,Fender,197.87,,0.0,,0.0,,0.0,,0.0,220.37,Hyundai,Elantra,Minor,PA,Collision,Roof,Clear,Erie,PA,2026-03-26,3035.77,2728.91
8839201,900010,159,2020,50,6,1,Minor,Minor,0,Standard,CAT-901,0,2,3,4,845.69,720.08,442.27,Quarter Panel,454.89,Trunk Lid,390.8,,0.0,,0.0,,0.0,Door Panel,248.68,Windshield,238.27,Hood,233.14,,0.0,,0.0,283.22,Toyota,Camry,Minor,GA,Collision,Rear,Rain,Savannah,GA,2026-04-05,2558.98,3004.67
GA-441029,900011,228,2013,100,20,2,Severe,Severe,1,Standard,CAT-305,0,10,2,3,7645.19,657.48,81.16,Trunk Lid,1885.53,Bumper Cover,1680.27,Headlight Assembly,1573.94,Tail Light Assembly,1264.96,Fender,1240.49,Windshield,347.42,Hood,310.06,,0.0,,0.0,,0.0,190.66,Honda,CR-V,Severe,CA,Collision,Passenger Side,Clear,Fresno,CA,2026-04-15,14275.59,14441.59
20260522-081,900012,215,2014,0,32,1,Minor,Minor,0,Low,,0,1,1,2,596.22,374.88,89.5,Bumper Cover,596.22,,0.0,,0.0,,0.0,,0.0,Hood,374.88,,0.0,,0.0,,0.0,,0.0,347.02,Subaru,Forester,Minor,TX,Animal Collision,Roof,Snow,El Paso,TX,2026-04-25,2962.24,3160.99
7748192,900013,624,2021,80,26,4,Minor,Minor,0,Standard,,1,0,1,2,0.0,41.97,293.77,,0.0,,0.0,,0.0,,0.0,,0.0,Mirror Assembly,41.97,,0.0,,0.0,,0.0,,0.0,324.46,Chevrolet,Malibu,Minor,NC,Collision,Driver Side,Clear,Raleigh,NC,2026-05-05,2367.65,2241.6
NY-882103,900014,425,2022,0,13,3,Minor,Minor,0,Low,,1,2,1,4,1956.12,410.87,162.78,Tail Light Assembly,979.66,Fender,976.46,,0.0,,0.0,,0.0,Grille,410.87,,0.0,,0.0,,0.0,,0.0,315.48,Chevrolet,Tahoe,Minor,NY,Collision,Rear,Rain,Albany,NY,2026-05-15,4412.04,4027.65
3391024,900015,463,2016,80,31,1,Minor,Minor,0,Low,,0,0,1,0,0.0,83.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,Wheel Rim,83.9,,0.0,,0.0,,0.0,,0.0,249.38,Ford,Mustang,Minor,MI,Vandalism,Driver Side,Clear,Detroit,MI,2026-05-25,2321.36,2518.84
FL-551920,900016,381,2025,20,44,4,Moderate,Moderate,0,Standard,,1,4,6,0,3035.71,684.14,0.0,Door Panel,931.98,Windshield,739.74,Hood,726.73,Mirror Assembly,637.26,,0.0,Quarter Panel,169.92,Trunk Lid,135.69,Bumper Cover,134.56,Headlight Assembly,130.15,Tail Light Assembly,113.83,294.28,Mercedes-Benz,C300,Moderate,OH,Animal Collision,Roof,Snow,Toledo,OH,2026-06-04,4206.59,5109.84
9910234,900017,319,2021,50,44,1,Minor,Minor,0,Low,,0,1,2,1,855.97,556.76,64.29,Windshield,855.97,,0.0,,0.0,,0.0,,0.0,Trunk Lid,287.18,Bumper Cover,269.58,,0.0,,0.0,,0.0,284.34,Hyundai,Elantra,Minor,PA,Theft,Undercarriage,Clear,Erie,PA,2026-06-14,3579.52,3060.48
