repair_id,claim_id,vehicle_id,repair_shop_contact_id,estimate_amount,approved_amount,invoice_amount,paid_amount,repair_start_date,repair_end_date,repair_status,make,model,vehicle_year,claim_status,claim_severity,loss_cause,incident_type,damage_severity,incident_state,liability_percentage,coverage_type,exposure_status,is_repeat_vehicle,is_synthetic_anomaly,anomaly_type,vehicle_claim_count,repair_duration_days,vehicle_age,invoice_vs_estimate_ratio,invoice_vs_approved_ratio,duplicate_flag
1,1,5749,217,883.0,859.88,821.28,779.6,2025-11-16,2025-11-18,Completed,Honda,Civic,2013,Closed,Medium,Weather Related,Vehicle Accident,Minor,CA,71.92466218572173,Liability,Open,False,False,,1,2,13,0.9301019252548131,0.9551100153509792,True
2,2,1818,152,1659.62,1620.74,1627.69,1621.15,2026-02-23,2026-03-02,Completed,Jeep,Grand Cherokee,2020,Closed,Low,Side Impact,Vehicle Accident,Minor,TX,54.30075312618904,Liability,Closed,False,False,,1,7,6,0.9807606560537956,1.0042881646655233,False
7,6,4529,175,1013.25,844.58,917.77,820.13,2026-04-06,2026-04-12,Completed,Honda,Civic,2023,Open,Low,Side Impact,Vehicle Accident,Minor,NJ,89.36164654630717,Liability,Open,False,False,,1,6,3,0.9057685664939551,1.0866584574581448,False
8,6,4529,175,1231.42,1213.63,1417.89,1211.47,2026-04-06,2026-04-12,Completed,Honda,Civic,2023,Open,Low,Side Impact,Vehicle Accident,Minor,NJ,89.36164654630717,Liability,Open,False,False,,1,6,3,1.1514268080752303,1.1683050023483268,False
9,7,7329,180,2946.86,3039.04,2827.41,2918.91,2025-11-23,2025-11-29,Scheduled,Chevrolet,Silverado,2022,Open,Low,Rear-end Collision,Vehicle Accident,Moderate,CA,53.61529037227636,Liability,Closed,False,False,,1,6,4,0.959465329197858,0.9303628777508687,False
12,10,7469,132,835.97,786.23,804.87,822.72,2025-05-04,2025-05-12,Scheduled,Subaru,Outback,2009,Closed,Low,Parking Lot Incident,Vehicle Accident,Minor,NY,57.159729848469034,Liability,Closed,False,False,,1,8,17,0.9627977080517243,1.0237080752451573,False
15,13,2127,29,3024.34,2863.51,3019.34,2841.89,2026-01-02,2026-01-17,In Progress,Toyota,Corolla,2008,Closed,High,Parking Lot Incident,Vehicle Accident,Severe,IL,78.38118035950455,Liability,Under Review,False,False,,1,15,18,0.9983467467282118,1.0544192267531804,False
16,13,2127,29,3045.22,2813.32,3527.37,2974.9,2026-01-02,2026-01-17,Completed,Toyota,Corolla,2008,Closed,High,Parking Lot Incident,Vehicle Accident,Severe,IL,78.38118035950455,Liability,Under Review,False,False,,1,15,18,1.1583301042289227,1.2538104445992635,False
17,14,3469,186,918.54,884.1,968.31,862.02,2025-03-21,2025-03-27,Completed,Hyundai,Elantra,2010,Closed,Low,Side Impact,Vehicle Accident,Minor,NY,89.78218591761915,Liability,Closed,False,False,,1,6,16,1.0541838134430728,1.0952494061757718,False
19,16,5802,102,1140.57,1071.95,1026.35,1048.47,2026-05-26,2026-05-27,Completed,Toyota,Corolla,2020,Open,High,Rear-end Collision,Vehicle Accident,Minor,OH,60.77452409809842,Liability,Closed,False,False,,1,1,6,0.8998570889993599,0.957460702458137,False
