repair_id,claim_id,vehicle_id,repair_shop_contact_id,estimate_amount,approved_amount,invoice_amount,paid_amount,repair_start_date,repair_end_date,repair_status,make,model,vehicle_year,claim_status,claim_severity,loss_cause,jurisdiction,incident_type,damage_severity,incident_state,incident_country,total_loss,liability_percentage,exposure_type,coverage_type,exposure_status,is_repeat_vehicle,is_synthetic_anomaly,anomaly_type
1,1,5749,217,883.0,859.88,821.28,779.6,2025-11-16,2025-11-18,Completed,Honda,Civic,2013,Closed,Medium,Weather Related,CA,Vehicle Accident,Minor,CA,USA,False,71.92466218572173,Third Party Property Damage,Liability,Open,False,False,
2,2,1818,152,1659.62,1620.74,1627.69,1621.15,2026-02-23,2026-03-02,Completed,Jeep,Grand Cherokee,2020,Closed,Low,Side Impact,TX,Vehicle Accident,Minor,TX,USA,False,54.300753126189036,Third Party Property Damage,Liability,Closed,False,False,
3,3,5113,64,1044.97,1075.69,1146.53,1051.4,2025-05-21,2025-05-28,In Progress,Subaru,Outback,2012,Closed,Low,Head-on Collision,IL,Vehicle Accident,Minor,IL,USA,False,35.25592877777705,First Party Collision,Collision,Closed,False,False,
4,3,5113,64,1325.4,1235.23,1448.16,1182.52,2025-05-21,2025-05-28,Completed,Subaru,Outback,2012,Closed,Low,Head-on Collision,IL,Vehicle Accident,Minor,IL,USA,False,35.25592877777705,First Party Collision,Collision,Closed,False,False,
5,4,5558,1,890.2,934.05,754.12,753.83,2025-03-28,2025-04-01,In Progress,Hyundai,Elantra,2017,Closed,Low,Rollover,IL,Vandalism,Minor,IL,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
6,5,611,61,2464.58,2286.09,2169.75,2241.0,2025-12-04,2025-12-15,In Progress,Toyota,Camry,2012,Open,Medium,Side Impact,OH,Weather Damage,Moderate,OH,USA,False,89.1575826076154,First Party Collision,Comprehensive,Closed,False,False,
7,6,4529,175,1013.25,844.58,917.77,820.13,2026-04-06,2026-04-12,Completed,Honda,Civic,2023,Open,Low,Side Impact,NJ,Vehicle Accident,Minor,NJ,USA,False,89.36164654630717,Third Party Property Damage,Liability,Open,False,False,
8,6,4529,175,1231.42,1213.63,1417.89,1211.47,2026-04-06,2026-04-12,Completed,Honda,Civic,2023,Open,Low,Side Impact,NJ,Vehicle Accident,Minor,NJ,USA,False,89.36164654630717,Third Party Property Damage,Liability,Open,False,False,
9,7,7329,180,2946.86,3039.04,2827.41,2918.91,2025-11-23,2025-11-29,Scheduled,Chevrolet,Silverado,2022,Open,Low,Rear-end Collision,CA,Vehicle Accident,Moderate,CA,USA,False,53.61529037227636,Third Party Property Damage,Liability,Closed,False,False,
10,8,1797,25,6956.62,6711.65,6756.41,6653.61,2025-07-29,2025-08-24,Completed,Honda,Civic,2014,Open,Low,Side Impact,FL,Parking Incident,Total Loss,FL,USA,True,53.36597153751107,First Party Collision,Comprehensive,Open,False,False,
11,9,1292,72,1071.79,1075.16,1661.43,1022.51,2025-12-27,2025-12-31,Completed,Honda,Civic,2023,Open,Medium,Rear-end Collision,NY,Vehicle Accident,Minor,NY,USA,False,77.14795396286502,First Party Collision,Collision,Open,False,False,
12,10,7469,132,835.97,786.23,804.87,822.72,2025-05-04,2025-05-12,Scheduled,Subaru,Outback,2009,Closed,Low,Parking Lot Incident,NY,Vehicle Accident,Minor,NY,USA,False,57.159729848469034,Third Party Property Damage,Liability,Closed,False,False,
13,11,239,219,967.09,935.27,942.69,886.33,2025-08-16,2025-08-21,Scheduled,Ford,Focus,2024,Closed,Low,Rear-end Collision,CA,Vandalism,Minor,CA,USA,False,53.0422149928314,First Party Collision,Comprehensive,Closed,False,False,
14,12,5386,199,1465.79,1379.93,1473.46,1417.39,2025-11-16,2025-11-17,Scheduled,Honda,CR-V,2019,Open,High,Parking Lot Incident,NJ,Vehicle Accident,Minor,NJ,USA,False,73.97283984505631,First Party Collision,Collision,Under Review,False,False,
15,13,2127,29,3024.34,2863.51,3019.34,2841.89,2026-01-02,2026-01-17,In Progress,Toyota,Corolla,2008,Closed,High,Parking Lot Incident,IL,Vehicle Accident,Severe,IL,USA,False,78.38118035950455,Third Party Property Damage,Liability,Under Review,False,False,
16,13,2127,29,3045.22,2813.32,3527.37,2974.9,2026-01-02,2026-01-17,Completed,Toyota,Corolla,2008,Closed,High,Parking Lot Incident,IL,Vehicle Accident,Severe,IL,USA,False,78.38118035950455,Third Party Property Damage,Liability,Under Review,False,False,
17,14,3469,186,918.54,884.1,968.31,862.02,2025-03-21,2025-03-27,Completed,Hyundai,Elantra,2010,Closed,Low,Side Impact,NY,Vehicle Accident,Minor,NY,USA,False,89.78218591761915,Third Party Property Damage,Liability,Closed,False,False,
18,15,3166,128,5282.95,4586.55,5529.65,4556.68,2025-04-22,2025-04-30,Completed,BMW,3 Series,2013,Open,Medium,Rear-end Collision,IL,Vehicle Accident,Moderate,IL,USA,False,96.26767787878474,First Party Collision,Collision,Open,True,False,
19,16,5802,102,1140.57,1071.95,1026.35,1048.47,2026-05-26,2026-05-27,Completed,Toyota,Corolla,2020,Open,High,Rear-end Collision,OH,Vehicle Accident,Minor,OH,USA,False,60.77452409809842,Third Party Property Damage,Liability,Closed,False,False,
20,17,5661,208,6361.15,6177.61,7307.52,6130.85,2025-06-14,2025-06-29,Completed,Ford,F-150,2013,Closed,Medium,Rear-end Collision,NY,Vehicle Accident,Severe,NY,USA,False,94.93024505958239,Third Party Property Damage,Liability,Closed,False,False,
21,18,3800,42,2744.03,2817.49,2694.26,2734.42,2025-10-09,2025-10-18,In Progress,Jeep,Grand Cherokee,2017,Open,Low,Rollover,PA,Vehicle Accident,Moderate,PA,USA,False,88.74283810398562,Third Party Property Damage,Liability,Closed,False,False,
22,19,6011,52,1439.21,1323.63,1297.51,1298.31,2026-07-04,2026-07-12,Completed,Hyundai,Elantra,2008,Open,Medium,Rear-end Collision,CA,Vehicle Accident,Moderate,CA,USA,False,99.73767130800744,Third Party Property Damage,Liability,Open,False,False,
23,19,6011,52,1882.01,1766.2,1744.43,1870.74,2026-07-04,2026-07-12,Completed,Hyundai,Elantra,2008,Open,Medium,Rear-end Collision,CA,Vehicle Accident,Moderate,CA,USA,False,99.73767130800744,Third Party Property Damage,Liability,Open,False,False,
24,20,3836,197,1957.8,2029.42,2274.62,1990.41,2026-03-17,2026-03-20,Completed,Toyota,Corolla,2021,Closed,Low,Side Impact,NJ,Vehicle Accident,Moderate,NJ,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
25,21,6063,59,6464.94,6219.14,6095.43,6052.29,2025-08-23,2025-09-27,In Progress,Toyota,Corolla,2012,Closed,Low,Weather Related,TX,Vehicle Accident,Total Loss,TX,USA,True,60.32185710265904,Third Party Property Damage,Liability,Closed,False,False,
26,22,1746,156,6392.14,6470.59,5940.6,6132.17,2026-01-20,2026-02-20,Completed,Hyundai,Elantra,2017,Closed,High,Head-on Collision,GA,Vehicle Accident,Total Loss,GA,USA,True,100.0,Third Party Property Damage,Liability,Closed,False,False,
27,23,7416,89,3258.45,2974.44,3420.31,2851.58,2025-04-20,2025-04-23,In Progress,Honda,CR-V,2012,Open,Medium,Parking Lot Incident,PA,Vehicle Accident,Moderate,PA,USA,False,95.9812816896551,Third Party Property Damage,Liability,Open,False,False,
28,24,2416,137,1057.07,1091.84,1162.73,1106.37,2025-11-01,2025-11-04,Scheduled,Toyota,Corolla,2013,Open,Medium,Side Impact,FL,Vehicle Accident,Minor,FL,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
29,25,2636,193,1900.43,1686.12,1911.06,1673.0,2025-02-21,2025-03-05,In Progress,Toyota,Camry,2024,Closed,Low,Side Impact,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
30,26,475,36,826.98,727.76,740.06,679.66,2026-02-22,2026-02-25,In Progress,Toyota,Corolla,2022,Closed,Medium,Rear-end Collision,FL,Vehicle Accident,Minor,FL,USA,False,85.15907963734747,First Party Collision,Collision,Closed,True,False,
