line_item_id,claim_id,repair_id,vehicle_id,line_item_type,description,part_type,quantity,unit_cost,labor_hours,labor_rate,labor_type,line_total,part_action,part_action_is_synthetic
1,1,1,1798,Part,Tail Light Assembly,OEM,1.0,1047.92,,,,1047.92,Repaired,True
2,1,1,1798,Labor,R&I / Replace - Tail Light Assembly,,,,0.54,343.53,Body,187.17,,False
3,1,1,1798,Part,Rear Bumper Cover,Aftermarket,1.0,1339.61,,,,1339.61,Replaced,True
4,1,1,1798,Labor,R&I / Replace - Rear Bumper Cover,,,,3.34,358.2,Body,1197.57,,False
5,1,1,1798,Paint Labor,Refinish - Rear Bumper Cover,,,,2.52,324.82,Paint,817.47,,False
6,1,1,1798,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,523.6,,,,523.6,,False
7,1,1,1798,Towing,Flatbed Tow - 28mi,,1.0,293.64,,,,293.64,,False
8,1,1,1798,Rental/LOU,Rental Car - 14 days,,14.0,42.64,,,,596.9,,False
9,1,1,1798,Sales Tax,Sales Tax (NJ 6.60%),,,157.58,,,,157.58,,False
10,2,2,3026,Part,Rear Bumper Cover,Aftermarket,1.0,469.91,,,,469.91,Reused,True
11,2,2,3026,Labor,R&I / Replace - Rear Bumper Cover,,,,1.24,129.84,Body,160.87,,False
12,2,2,3026,Paint Labor,Refinish - Rear Bumper Cover,,,,1.15,107.09,Paint,123.4,,False
13,2,2,3026,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,72.79,,,,72.79,,False
14,2,2,3026,Administrative Fee,Shop Supplies / Admin Fee,,,41.59,,,,41.59,,False
15,2,2,3026,Sales Tax,Sales Tax (NJ 6.60%),,,31.01,,,,31.01,,False
16,3,3,6013,Part,Tail Light Assembly,OEM,1.0,971.74,,,,971.74,Repaired,True
17,3,3,6013,Labor,R&I / Replace - Tail Light Assembly,,,,0.41,290.46,Body,119.59,,False
18,3,3,6013,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,123.59,,,,123.59,,False
19,3,3,6013,Administrative Fee,Shop Supplies / Admin Fee,,,54.16,,,,54.16,,False
20,4,4,64,Part,Radiator Support,Aftermarket,1.0,1054.89,,,,1054.89,Replaced,True
21,4,4,64,Labor,R&I / Replace - Radiator Support,,,,3.1,225.58,Mechanical,699.56,,False
22,4,4,64,Rental/LOU,Rental Car - 1 days,,1.0,36.55,,,,36.55,,False
23,4,4,64,Administrative Fee,Shop Supplies / Admin Fee,,,115.17,,,,115.17,,False
24,4,4,64,Sales Tax,Sales Tax (FL 6.00%),,,63.29,,,,63.29,,False
25,5,5,4714,Part,Tail Light Assembly,Reconditioned,1.0,1026.89,,,,1026.89,Reused,True
26,5,5,4714,Labor,R&I / Replace - Tail Light Assembly,,,,0.33,780.35,Body,258.33,,False
27,5,5,4714,Rental/LOU,Rental Car - 1 days,,1.0,29.78,,,,29.78,,False
28,5,5,4714,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,141.79,,,,141.79,,False
29,5,5,4714,Administrative Fee,Shop Supplies / Admin Fee,,,56.62,,,,56.62,,False
30,5,5,4714,Sales Tax,Sales Tax (NJ 6.60%),,,67.77,,,,67.77,,False
31,5,6,4714,Part,Rear Bumper Cover,Aftermarket,1.0,421.5,,,,421.5,Repaired,True
32,5,6,4714,Labor,R&I / Replace - Rear Bumper Cover,,,,1.3,122.31,Body,159.61,,False
33,5,6,4714,Paint Labor,Refinish - Rear Bumper Cover,,,,1.25,137.81,Paint,171.79,,False
34,5,6,4714,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,98.56,,,,98.56,,False
35,5,6,4714,Part,Tail Light Assembly,OEM,1.0,356.78,,,,356.78,Repaired,True
36,5,6,4714,Labor,R&I / Replace - Tail Light Assembly,,,,0.31,138.18,Body,42.71,,False
37,5,6,4714,Rental/LOU,Rental Car - 1 days,,1.0,33.9,,,,33.9,,False
38,5,6,4714,Administrative Fee,Shop Supplies / Admin Fee,,,44.83,,,,44.83,,False
39,6,7,5214,Part,Quarter Panel,Aftermarket,1.0,1143.99,,,,1143.99,Replaced,True
40,6,7,5214,Labor,R&I / Replace - Quarter Panel,,,,9.49,270.88,Frame,2570.66,,False
41,6,7,5214,Towing,Flatbed Tow - 14mi,,1.0,171.31,,,,171.31,,False
42,6,7,5214,Rental/LOU,Rental Car - 16 days,,16.0,43.64,,,,698.24,,False
43,6,7,5214,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,116.33,,,,116.33,,False
44,6,7,5214,Administrative Fee,Shop Supplies / Admin Fee,,,275.69,,,,275.69,,False
45,6,7,5214,Sales Tax,Sales Tax (TX 6.25%),,,71.5,,,,71.5,,False
46,7,8,6617,Part,Tail Light Assembly,OEM,1.0,589.03,,,,589.03,Replaced,True
47,7,8,6617,Labor,R&I / Replace - Tail Light Assembly,,,,0.46,176.63,Body,81.42,,False
48,7,8,6617,Part,Rear Bumper Cover,Aftermarket,1.0,885.05,,,,885.05,Replaced,True
49,7,8,6617,Labor,R&I / Replace - Rear Bumper Cover,,,,2.78,194.68,Body,541.14,,False
50,7,8,6617,Paint Labor,Refinish - Rear Bumper Cover,,,,1.39,175.92,Paint,244.98,,False
51,7,8,6617,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,143.53,,,,143.53,,False
52,7,8,6617,Towing,Flatbed Tow - 23mi,,1.0,213.48,,,,213.48,,False
53,7,8,6617,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,124.53,,,,124.53,,False
54,7,8,6617,Sales Tax,Sales Tax (OH 5.75%),,,84.76,,,,84.76,,False
55,7,9,6617,Part,Tail Light Assembly,OEM,1.0,634.48,,,,634.48,Reused,True
56,7,9,6617,Labor,R&I / Replace - Tail Light Assembly,,,,0.4,215.76,Body,85.42,,False
57,7,9,6617,Part,Rear Bumper Cover,Used/Recycled,1.0,497.2,,,,497.2,Repaired,True
58,7,9,6617,Labor,R&I / Replace - Rear Bumper Cover,,,,1.6,195.48,Body,313.2,,False
59,7,9,6617,Paint Labor,Refinish - Rear Bumper Cover,,,,2.47,175.31,Paint,432.66,,False
60,7,9,6617,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,237.64,,,,237.64,,False
61,7,9,6617,Administrative Fee,Shop Supplies / Admin Fee,,,114.46,,,,114.46,,False
62,7,9,6617,Sales Tax,Sales Tax (OH 5.75%),,,65.07,,,,65.07,,False
63,8,10,1294,Part,Front Bumper Cover,OEM,1.0,3417.0,,,,3417.0,Repaired,True
64,8,10,1294,Labor,R&I / Replace - Front Bumper Cover,,,,3.34,366.52,Body,1224.53,,False
65,8,10,1294,Part,Headlight Assembly - Left,OEM,1.0,2821.88,,,,2821.88,Replaced,True
66,8,10,1294,Labor,R&I / Replace - Headlight Assembly - Left,,,,1.09,428.58,Body,465.35,,False
67,8,10,1294,Towing,Flatbed Tow - 33mi,,1.0,285.87,,,,285.87,,False
68,8,10,1294,Administrative Fee,Shop Supplies / Admin Fee,,,305.68,,,,305.68,,False
69,8,10,1294,Sales Tax,Sales Tax (FL 6.00%),,,374.33,,,,374.33,,False
70,9,11,4149,Part,Tail Light Assembly,Aftermarket,1.0,1374.83,,,,1374.83,Replaced,True
71,9,11,4149,Labor,R&I / Replace - Tail Light Assembly,,,,0.3,899.47,Body,269.84,,False
72,9,11,4149,Rental/LOU,Rental Car - 2 days,,2.0,48.03,,,,96.07,,False
73,9,11,4149,Administrative Fee,Shop Supplies / Admin Fee,,,109.88,,,,109.88,,False
74,9,11,4149,Sales Tax,Sales Tax (FL 6.00%),,,82.49,,,,82.49,,False
75,10,12,5312,Part,Rear Bumper Cover,OEM,1.0,5447.95,,,,5447.95,Replaced,True
76,10,12,5312,Labor,R&I / Replace - Rear Bumper Cover,,,,3.34,432.37,Body,1443.63,,False
77,10,12,5312,Part,Tail Light Assembly,Used/Recycled,1.0,1389.82,,,,1389.82,Replaced,True
78,10,12,5312,Labor,R&I / Replace - Tail Light Assembly,,,,0.9,511.02,Body,461.86,,False
79,10,12,5312,Towing,Flatbed Tow - 30mi,,1.0,323.28,,,,323.28,,False
80,10,12,5312,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,96.93,,,,96.93,,False
81,10,12,5312,Administrative Fee,Shop Supplies / Admin Fee,,,388.24,,,,388.24,,False
82,10,12,5312,Sales Tax,Sales Tax (PA 6.00%),,,410.27,,,,410.27,,False
83,11,13,4916,Part,Windshield,OEM,1.0,3614.19,,,,3614.19,Repaired,True
84,11,13,4916,Labor,R&I / Replace - Windshield,,,,1.5,293.75,Glass,439.98,,False
85,11,13,4916,Administrative Fee,Shop Supplies / Admin Fee,,,317.59,,,,317.59,,False
86,11,13,4916,Sales Tax,Sales Tax (IL 6.25%),,,225.89,,,,225.89,,False
87,11,14,4916,Part,Rear Bumper Cover,OEM,1.0,3280.54,,,,3280.54,Repaired,True
88,11,14,4916,Labor,R&I / Replace - Rear Bumper Cover,,,,1.95,306.44,Body,596.08,,False
89,11,14,4916,Paint Labor,Refinish - Rear Bumper Cover,,,,1.09,305.7,Paint,334.03,,False
90,11,14,4916,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,173.9,,,,173.9,,False
91,11,14,4916,Towing,Flatbed Tow - 29mi,,1.0,247.4,,,,247.4,,False
92,11,14,4916,Administrative Fee,Shop Supplies / Admin Fee,,,44.42,,,,44.42,,False
