claim_id,repair_id,vehicle_id,replaced_part_1,replaced_part_1_cost,replaced_part_2,replaced_part_2_cost,replaced_part_3,replaced_part_3_cost,replaced_part_4,replaced_part_4_cost,replaced_part_5,replaced_part_5_cost,repaired_part_1,repaired_part_1_cost,repaired_part_2,repaired_part_2_cost,repaired_part_3,repaired_part_3_cost,repaired_part_4,repaired_part_4_cost,repaired_part_5,repaired_part_5_cost,num_parts_replaced,replaced_cost_total,overflow_replaced_count,num_parts_repaired,repaired_cost_total,overflow_repaired_count,num_parts_reused,reused_cost_total,total_parts_cost,pct_cost_replaced
1,1,1798,Rear Bumper Cover,1339.61,,,,,,,,,Tail Light Assembly,1047.92,,,,,,,,,1,1339.61,0,1,1047.92,0,0,0.0,2387.53,0.5611
2,2,3026,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,469.91,469.91,0.0
3,3,6013,,,,,,,,,,,Tail Light Assembly,971.74,,,,,,,,,0,0.0,0,1,971.74,0,0,0.0,971.74,0.0
4,4,64,Radiator Support,1054.89,,,,,,,,,,,,,,,,,,,1,1054.89,0,0,0.0,0,0,0.0,1054.89,1.0
5,5,4714,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,1,1026.89,1026.89,0.0
5,6,4714,,,,,,,,,,,Rear Bumper Cover,421.5,Tail Light Assembly,356.78,,,,,,,0,0.0,0,2,778.28,0,0,0.0,778.28,0.0
6,7,5214,Quarter Panel,1143.99,,,,,,,,,,,,,,,,,,,1,1143.99,0,0,0.0,0,0,0.0,1143.99,1.0
7,8,6617,Rear Bumper Cover,885.05,Tail Light Assembly,589.03,,,,,,,,,,,,,,,,,2,1474.08,0,0,0.0,0,0,0.0,1474.08,1.0
7,9,6617,,,,,,,,,,,Rear Bumper Cover,497.2,,,,,,,,,0,0.0,0,1,497.2,0,1,634.48,1131.68,0.0
8,10,1294,Headlight Assembly - Left,2821.88,,,,,,,,,Front Bumper Cover,3417.0,,,,,,,,,1,2821.88,0,1,3417.0,0,0,0.0,6238.88,0.4523
9,11,4149,Tail Light Assembly,1374.83,,,,,,,,,,,,,,,,,,,1,1374.83,0,0,0.0,0,0,0.0,1374.83,1.0
10,12,5312,Rear Bumper Cover,5447.95,Tail Light Assembly,1389.82,,,,,,,,,,,,,,,,,2,6837.77,0,0,0.0,0,0,0.0,6837.77,1.0
11,13,4916,,,,,,,,,,,Windshield,3614.19,,,,,,,,,0,0.0,0,1,3614.19,0,0,0.0,3614.19,0.0
11,14,4916,,,,,,,,,,,Rear Bumper Cover,3280.54,,,,,,,,,0,0.0,0,1,3280.54,0,0,0.0,3280.54,0.0
12,15,2016,Rear Bumper Cover,1361.14,,,,,,,,,Tail Light Assembly,764.87,,,,,,,,,1,1361.14,0,1,764.87,0,0,0.0,2126.01,0.6402
13,16,4118,Quarter Panel,9576.2,,,,,,,,,Tail Light Assembly,2686.88,,,,,,,,,1,9576.2,0,1,2686.88,0,0,0.0,12263.08,0.7809
14,17,5491,,,,,,,,,,,Front Fender - Right,663.05,,,,,,,,,0,0.0,0,1,663.05,0,0,0.0,663.05,0.0
14,18,5491,Front Fender - Right,523.43,,,,,,,,,,,,,,,,,,,1,523.43,0,0,0.0,0,0,0.0,523.43,1.0
14,19,5491,,,,,,,,,,,Front Fender - Right,483.23,,,,,,,,,0,0.0,0,1,483.23,0,0,0.0,483.23,0.0
15,20,2032,Headlight Assembly - Right,1273.1,,,,,,,,,,,,,,,,,,,1,1273.1,0,0,0.0,0,0,0.0,1273.1,1.0
